iter	F1	Logloss
103	0.9608192345	0.1255494552
104	0.9608943485	0.1250680994
105	0.9610214912	0.1247072166
106	0.9611313233	0.1242606171
107	0.9616474702	0.1238510586
108	0.9613741992	0.1234954488
109	0.9614870047	0.1226069726
110	0.9616432407	0.1216529729
111	0.9621942366	0.1212650814
112	0.9622087098	0.1210345067
113	0.9622868724	0.1206603242
114	0.9624374436	0.1202727719
115	0.9625504029	0.1198291661
116	0.962628621	0.1193121644
117	0.9631214842	0.1189702637
118	0.9632374067	0.1177871225
119	0.9633620545	0.1175356669
120	0.9635157345	0.1168060266
121	0.9632925382	0.116227786
122	0.9633911891	0.1158580666
123	0.9634782508	0.1155302239
124	0.9636175823	0.1148485463
125	0.9637714743	0.1145739799
126	0.9638992711	0.1141939126
127	0.9644039789	0.113778797
128	0.9644446567	0.1135288052
129	0.9645928692	0.1131488973
130	0.9646510041	0.1126922311
131	0.9652717478	0.1120828419
132	0.965356093	0.111587543
133	0.9654549993	0.1111974786
134	0.9655102793	0.1108787453
135	0.9655772056	0.1105751954
136	0.9656237685	0.1098989316
137	0.9657693066	0.1095902244
138	0.9658013309	0.1093875516
139	0.9663492427	0.1090608825
140	0.9663725411	0.1087974911
141	0.9665298348	0.1084829628
142	0.9666405537	0.1081935963
143	0.966698837	0.1079363662
144	0.9671824137	0.1076725236
145	0.9673340065	0.1072732911
146	0.9670049395	0.1070607912
147	0.9671099336	0.1066800702
148	0.9671974461	0.1063579383
149	0.967733623	0.1060635046
150	0.967832849	0.1058288085
151	0.9682899201	0.1055166464
152	0.9683833371	0.1049893587
153	0.9685234965	0.1042518503
154	0.9694162168	0.1039958587
155	0.9698927365	0.1034967801
156	0.9699833044	0.1032978528
157	0.970144031	0.1028987405
158	0.9698106937	0.1023660287
159	0.9698428504	0.1021221069
160	0.9699071702	0.1018707869
161	0.9695764392	0.1015877848
162	0.9704217751	0.1013236866
163	0.9710355221	0.100923827
164	0.9711496376	0.1006430195
165	0.971266707	0.1002263547
166	0.9717485373	0.09998698271
167	0.971498002	0.09959991842
168	0.9720091573	0.0992979514
169	0.9722054466	0.0989385228
170	0.9722318198	0.09868715992
171	0.9722904322	0.09848844449
172	0.9723842267	0.09817771525
173	0.9724457891	0.09785876252
174	0.9725718699	0.09717536567
175	0.9726950502	0.09681481198
176	0.9727273168	0.09654871037
177	0.9728769447	0.09621742078
178	0.9729767222	0.09549734784
179	0.9730354245	0.09501995614
180	0.9731499141	0.09467117996
181	0.97321451	0.09443944742
182	0.9732908615	0.09424204828
183	0.9733877865	0.09393266002
184	0.9734817929	0.09362668357
185	0.9735963876	0.09335664921
186	0.9736904343	0.09297549572
187	0.9737168881	0.09279170308
188	0.9738315383	0.09255508047
189	0.9738727013	0.09238837534
190	0.9739138678	0.09219227118
191	0.9740197406	0.09194181717
192	0.9740844519	0.09159121446
193	0.9741668243	0.09128144889
194	0.9741962463	0.09105549332
195	0.9742050733	0.09091858895
196	0.9742550958	0.09076355376
197	0.9743257245	0.09029448851
198	0.974458181	0.0899608522
199	0.9745200064	0.08970845191
200	0.9745406166	0.08950113283
201	0.9745877289	0.08923797683
202	0.9746525157	0.08906836224
203	0.9747114203	0.08890767129
204	0.9747173112	0.08875351352
205	0.9747997906	0.08855606819
206	0.9748410355	0.08834737903
207	0.9748911234	0.08815000168
208	0.9749441631	0.08795309972
209	0.975035523	0.08761020363
210	0.9751033171	0.08744101827
211	0.9751504838	0.08726304331
212	0.9752212425	0.08692513901
213	0.9753421456	0.08666224987
214	0.9753745881	0.08641078338
215	0.975412932	0.08625885409
216	0.975492579	0.08599182496
217	0.9755456843	0.08580561371
218	0.9755958446	0.08559375601
219	0.9756371569	0.08530747314
220	0.975681424	0.08510088077
221	0.9757876814	0.08476889193
222	0.9758644373	0.08447238746
223	0.9759146303	0.08429635795
224	0.9760032189	0.08410585019
225	0.9760681941	0.08389163658
226	0.9760918236	0.08366475991
227	0.976139086	0.083318745
228	0.9761479482	0.08318275998
229	0.9762247607	0.08300191947
230	0.9763015854	0.08284176545
231	0.9763695557	0.08260616252
232	0.9764316238	0.08239952578
233	0.9769108602	0.08201734157
234	0.9769552057	0.08184554086
235	0.9770734799	0.08132574649
236	0.9771740355	0.08105770081
237	0.9772450284	0.08079826608
238	0.9773367428	0.08051609791
239	0.9773722498	0.08031041529
240	0.9774610286	0.08010390436
241	0.9774935848	0.07988354117
242	0.9775468634	0.07969113075
243	0.9775823856	0.0794500003
244	0.9776623201	0.07921828315
245	0.9777245004	0.07902533317
246	0.9777955733	0.07877481804
247	0.9778311137	0.07849099825
248	0.9779229381	0.07810161175
249	0.978011817	0.0776281895
250	0.9780888583	0.07734689051
251	0.9781540567	0.07716040345
252	0.9781955511	0.07700212731
