feature,importance
賣超第14名分點前11天券商代號,41
賣超第6名分點前20天券商代號,41
買超第8名分點前12天券商代號,41
買超第7名分點前7天券商代號,41
賣超第10名分點前7天券商代號,41
賣超第3名分點前9天券商代號,40
買超第10名分點前2天券商代號,40
買超第3名分點券商代號,40
買超第7名分點前17天券商代號,40
賣超第15名分點前18天券商代號,40
買超第1名分點前8天券商代號,40
賣超第6名分點前5天券商代號,39
買超第1名分點前3天券商代號,39
賣超第11名分點前8天券商代號,39
上市加權指數前19天收盤價,39
個股券商分點區域分析_近20日賣超5公司區域密度,39
賣超第14名分點前8天券商代號,39
買超第13名分點前10天券商代號,39
買超第14名分點前3天買均值(千),39
賣超第11名分點前3天券商代號,39
買超第12名分點券商代號,39
買超第13名分點前1天券商代號,39
賣超第2名分點前7天券商代號,39
賣超第12名分點前18天券商代號,38
賣超第2名分點前4天券商代號,38
外資券商_前1天分點出貨比(%),38
買超第14名分點前2天券商代號,38
賣超第12名分點前14天券商代號,38
賣超第4名分點前4天券商代號,38
個股券商分點區域分析_近5日賣超2分點區域密度,38
賣超第14名分點前12天券商代號,37
買超第11名分點前11天券商代號,37
買超第15名分點券商代號,37
買超第6名分點前12天賣均張,37
賣超第13名分點前5天券商代號,37
賣超第1名分點前2天券商代號,37
個股券商分點區域分析_近1日成交3分點區域密度,37
賣超第8名分點前16天賣均張,37
主力券商_分點成交力(%),37
買超第12名分點前2天券商代號,37
賣超第12名分點前2天券商代號,37
個股券商分點籌碼分析_賣出分佈係數,37
主力券商_前14天分點吃貨比(%),37
外資券商_前9天分點出貨比(%),37
主力券商_前15天分點吃貨比(%),37
個股券商分點區域分析_近60日成交1公司區域密度,37
賣超第13名分點前10天券商代號,36
月營收_背書保證累計餘額(千),36
賣超第2名分點前12天券商代號,36
個股券商分點區域分析_近1日買超2分點區域密度,36
買超第12名分點前10天券商代號,36
買超第15名分點前1天券商代號,36
買超第4名分點前18天券商代號,36
外資券商_前20天分點吃貨比(%),36
主力券商_前2天分點吃貨比(%),36
賣超第7名分點前6天券商代號,36
賣超第12名分點前11天券商代號,36
買超第3名分點前13天券商代號,36
買超第1名分點前17天券商代號,36
賣超第14名分點前15天券商代號,35
個股20天成交量波動度,35
賣超第10名分點前10天賣均張,35
個股券商分點區域分析_近20日買超2分點區域密度,35
買超第10名分點前10天券商代號,35
賣超第6名分點前2天券商代號,35
賣超第2名分點前17天券商代號,35
賣超第7名分點前18天券商代號,35
買超第4名分點前19天券商代號,35
買超第4名分點前14天券商代號,35
買超第7名分點前1天券商代號,35
賣超第3名分點前15天券商代號,35
買超第8名分點前9天券商代號,35
賣超第13名分點前9天券商代號,35
主力券商_前10天分點吃貨比(%),34
主力券商_前11天分點吃貨比(%),34
買超第5名分點前4天券商代號,34
買超第3名分點前15天券商代號,34
買超第6名分點前10天券商代號,34
個股券商分點區域分析_近1日買超3分點區域密度,34
賣超第1名分點前16天券商代號,34
賣超第13名分點前14天券商代號,34
賣超第13名分點前16天券商代號,34
賣超第13名分點前12天券商代號,33
主力券商_前3天分點吃貨比(%),33
買超第11名分點前18天券商代號,33
主力券商_前15天分點出貨比(%),33
買超第13名分點前7天券商代號,33
賣超第5名分點前3天券商代號,33
個股券商分點區域分析_近60日買超2分點區域密度,33
買超第6名分點前9天券商代號,33
賣超第4名分點券商代號,32
買超第1名分點前13天買筆數,32
賣超第1名分點前1天券商代號,32
個股券商分點區域分析_近1日買超3公司區域密度,32
季IFRS財報_歸屬於母公司–稅後資產報酬率累季(%),32
賣超第6名分點前1天賣均值(千),32
買超第3名分點前6天券商代號,32
賣超第9名分點前9天券商代號,32
賣超第10名分點前16天券商代號,32
