feature,importance
賣超第12名分點前4天賣金額(千),6
買超第5名分點前13天買筆數,6
買超第14名分點前12天金額增減(千),6
買超第11名分點前7天買均價,6
賣超第8名分點前15天賣筆數,6
賣超第5名分點前16天張增減,6
買超第11名分點前7天張增減,6
賣超第14名分點前17天買筆數,6
賣超第12名分點前15天買筆數,6
賣超第7名分點前7天買筆數,6
賣超第3名分點前19天買均價,6
賣超第10名分點前1天買均價,6
賣超第11名分點前10天賣均價,6
賣超第8名分點前13天賣均價,6
賣超第1名分點前9天買均張,6
賣超第6名分點前12天金額增減(千),6
賣超第9名分點前16天賣張,6
賣超第4名分點前15天買筆數,6
賣超第9名分點前7天買筆數,6
買超第3名分點前4天賣均價,6
買超第12名分點前16天張增減,6
買超第13名分點買均價,6
賣超第15名分點前13天賣均價,6
買超第12名分點前14天買筆數,6
賣超第8名分點前2天買均價,6
賣超第10名分點前20天賣均價,6
賣超第1名分點前14天買筆數,5
賣超第7名分點前12天買筆數,5
賣超第12名分點前20天賣筆數,5
賣超第13名分點前15天賣均張,5
買超第4名分點前13天金額增減(千),5
賣超第6名分點前10天買均價,5
賣超第13名分點前19天賣筆數,5
賣超第2名分點前18天買筆數,5
賣超第9名分點前12天買筆數,5
買超第14名分點前13天買均價,5
買超第7名分點前10天張增減,5
買超第13名分點前11天賣筆數,5
賣超第9名分點前3天張增減,5
賣超第5名分點前18天買筆數,5
賣超第8名分點前17天張增減,5
買超第10名分點前8天賣筆數,5
買超第15名分點前15天金額增減(千),5
賣超第3名分點前13天賣筆數,5
買超第5名分點前13天賣筆數,5
買超第13名分點前8天買均價,5
買超第9名分點前5天買均價,5
賣超第12名分點賣均價,5
買超第15名分點前3天買筆數,5
個股券商分點區域分析_近5日成交5與公司接近比例,5
買超第9名分點前20天買筆數,5
買超第9名分點前10天賣筆數,5
賣超第9名分點前17天張增減,5
買超第6名分點前9天賣均價,5
買超第2名分點前19天賣筆數,5
賣超第1名分點前13天買筆數,5
賣超第11名分點前16天張增減,5
賣超第8名分點前3天買均價,5
賣超第10名分點前14天買筆數,5
買超第9名分點前20天買張,4
賣超第9名分點前6天買均價,4
買超第3名分點前14天賣筆數,4
買超第4名分點前8天賣筆數,4
賣超第11名分點前1天賣均價,4
賣超第6名分點前3天金額增減(千),4
賣超第14名分點前13天買均價,4
買超第1名分點前9天買均價,4
買超第14名分點前18天賣筆數,4
賣超第15名分點前5天金額增減(千),4
賣超第12名分點前18天買筆數,4
買超第14名分點前8天買筆數,4
買超第8名分點前4天買均價,4
買超第6名分點前17天金額增減(千),4
買超第2名分點前3天賣均價,4
賣超第14名分點前5天買筆數,4
賣超第5名分點前17天張增減,4
賣超第10名分點前20天賣筆數,4
買超第6名分點前4天買筆數,4
賣超第2名分點前4天買筆數,4
買超第15名分點前1天買均價,4
買超第14名分點前16天買筆數,4
賣超第12名分點前11天賣均價,4
賣超第5名分點前6天買均價,4
買超第10名分點前8天買筆數,4
買超第11名分點前19天買筆數,4
賣超第11名分點前12天買筆數,4
賣超第5名分點前17天買筆數,4
賣超第6名分點前4天買均價,4
賣超第14名分點前4天賣均價,4
買超第9名分點前12天張增減,4
賣超第3名分點前17天金額增減(千),4
賣超第12名分點前11天買筆數,4
買超第7名分點前11天賣筆數,4
買超第12名分點前18天買均價,4
買超第13名分點前9天買筆數,4
賣超第6名分點買均價,4
賣超第9名分點前19天買筆數,4
賣超第11名分點前5天金額增減(千),4
賣超第1名分點前17天買均價,4
買超第2名分點前8天賣筆數,4
賣超第6名分點前16天賣張,4
賣超第12名分點前10天賣均價,4
買超第6名分點前19天買筆數,4
賣超第15名分點前7天賣均價,3
買超第11名分點前13天賣筆數,3
買超第3名分點前6天買均價,3
賣超第6名分點前2天賣均價,3
買超第6名分點前11天賣筆數,3
賣超第4名分點前7天張增減,3
買超第13名分點前10天賣筆數,3
賣超第13名分點前15天賣張,3
買超第2名分點前17天賣筆數,3
買超第1名分點前9天賣筆數,3
買超第9名分點前12天賣金額(千),3
買超第7名分點前12天賣筆數,3
賣超第11名分點前18天買筆數,3
買超第9名分點前18天買筆數,3
買超第5名分點前1天買均價,3
買超第2名分點前4天買均價,3
買超第2名分點前11天賣均價,3
賣超第13名分點前9天買筆數,3
賣超第12名分點前13天賣均價,3
買超第4名分點前1天買均價,3
賣超第1名分點前9天賣均價,3
賣超第15名分點前11天買筆數,3
賣超第8名分點前9天買筆數,3
賣超第5名分點前14天賣筆數,3
買超第2名分點前6天買均價,3
買超第12名分點前4天買均價,3
賣超第13名分點前15天買筆數,3
買超第10名分點前14天賣筆數,3
賣超第13名分點前6天買筆數,3
買超第11名分點前2天買均價,3
買超第14名分點前2天買均價,3
賣超第8名分點前16天賣張,3
買超第8名分點前12天賣均價,3
賣超第15名分點前9天張增減,3
買超第11名分點前4天買均價,3
賣超第12名分點前9天賣均價,3
買超第10名分點前12天賣筆數,3
買超第3名分點前13天金額增減(千),3
買超第11名分點前13天買均價,2
賣超第3名分點前11天買筆數,2
買超第8名分點前2天買均價,2
買超第10名分點前4天買均價,2
買超第15名分點前9天買均價,2
賣超第12名分點前3天賣均價,2
買超第4名分點前14天買筆數,2
買超第8名分點前7天買均價,2
賣超第4名分點前12天賣張,2
賣超第7名分點前18天賣均價,2
買超第9名分點前8天賣筆數,2
買超第5名分點前3天買均價,2
賣超第11名分點前2天賣均價,2
買超第14名分點前5天買均價,2
買超第7名分點前12天張增減,2
賣超第14名分點前10天賣均價,2
賣超第15名分點前2天賣均價,2
買超第11名分點買均價,2
買超第1名分點前15天賣筆數,2
賣超第9名分點前6天買筆數,2
賣超第10名分點前12天賣筆數,2
買超第9名分點前7天張增減,2
買超第15名分點前4天賣筆數,2
賣超第13名分點前8天買筆數,2
賣超第14名分點前9天賣均價,2
買超第14名分點前12天賣筆數,2
賣超第5名分點前2天賣均價,2
賣超第14名分點前17天張增減,2
賣超第1名分點前16天買筆數,2
賣超第6名分點前3天賣均價,2
買超第3名分點前13天買金額(千),2
賣超第11名分點前8天買筆數,2
買超第12名分點買均價,2
賣超第14名分點前2天賣均價,2
賣超第11名分點前11天買筆數,2
賣超第13名分點前13天賣均價,2
賣超第14名分點前13天賣均價,2
賣超第9名分點前18天買筆數,2
賣超第15名分點前3天張增減,2
賣超第13名分點前17天金額增減(千),2
賣超第9名分點前11天賣均價,1
賣超第10名分點前3天賣均價,1
買超第9名分點前4天買均價,1
賣超第13名分點前19天買筆數,1
賣超第11名分點前20天買筆數,1
賣超第14名分點前17天買張,1
賣超第3名分點前9天賣均價,1
買超第9名分點前18天買均價,1
賣超第13名分點前4天賣均價,1
賣超第8名分點前2天賣均價,1
賣超第9名分點前4天賣均價,1
賣超第9名分點前13天賣均價,1
買超第15名分點前5天買均價,1
賣超第10名分點前2天賣均價,1
個股券商分點區域分析_近20日賣超5與公司接近比例,1
賣超第9名分點前2天賣均價,1
買超第7名分點前9天買均價,1
買超第13名分點前11天買筆數,1
賣超第15名分點前20天賣筆數,1
買超第14名分點金額增減(千),1
個股券商分點區域分析_近60日成交5與公司接近比例,0
買超第15名分點前4天買金額(千),0
賣超第7名分點前6天賣均價,0
賣超第12名分點前2天賣均價,0
買超第7名分點前2天買均價,0
賣超第7名分點前2天賣均價,0
買超第5名分點前6天買均價,0
買超第4名分點前6天買均價,0
買超第9名分點前2天買均價,0
買超第6名分點前19天賣筆數,0
買超第14名分點前16天張增減,0
買超第9名分點前3天買均價,0
買超第6名分點前14天買均價,0
買超第9名分點前1天買均價,0
賣超第7名分點前1天賣均價,0
賣超第10名分點前1天賣均價,0
買超第10名分點前2天買均價,0
